Scaffold ID Short,Scaffold ID
Ga0508133_045016,3300049257 assembled Ga0508133_011221
Ga0508133_045016,3300049257 assembled Ga0508133_050890
Ga0508133_045016,3300049257 assembled Ga0508133_067697
Ga0508133_045016,3300049256 assembled Ga0508132_01998
Ga0508133_045016,3300049257 assembled Ga0508133_001398
Ga0508133_045016,3300049257 assembled Ga0508133_004428
Ga0508133_045016,3300049257 assembled Ga0508133_005423
Ga0508133_045016,3300049257 assembled Ga0508133_006568
Ga0508133_045016,3300049257 assembled Ga0508133_007208
Ga0508133_045016,3300049257 assembled Ga0508133_030166
Ga0508133_045016,3300049257 assembled Ga0508133_050031
Ga0508133_045016,3300049257 assembled Ga0508133_066169
Ga0508133_045016,3300049257 assembled Ga0508133_005960
Ga0508133_045016,3300049257 assembled Ga0508133_017123
Ga0508133_045016,3300049257 assembled Ga0508133_027471
Ga0508133_045016,3300049257 assembled Ga0508133_030378
Ga0508133_045016,3300049257 assembled Ga0508133_045016
Ga0508133_045016,3300049257 assembled Ga0508133_093138
Ga0508133_093138,3300049256 assembled Ga0508132_00002
Ga0508133_093138,3300049257 assembled Ga0508133_025105
Ga0508133_093138,3300049256 assembled Ga0508132_00004
Ga0508133_093138,3300049257 assembled Ga0508133_080440
Ga0508133_093138,3300049256 assembled Ga0508132_00028
Ga0508133_093138,3300049257 assembled Ga0508133_030819
Ga0508133_093138,3300049256 assembled Ga0508132_00042
Ga0508133_093138,3300049257 assembled Ga0508133_075422
Ga0508133_093138,3300049257 assembled Ga0508133_077071
Ga0508133_093138,3300049256 assembled Ga0508132_00033
Ga0508133_093138,3300049256 assembled Ga0508132_00043
Ga0508133_093138,3300049256 assembled Ga0508132_00045
Ga0508133_093138,3300049257 assembled Ga0508133_068354
Ga0508133_093138,3300049257 assembled Ga0508133_015973
Ga0508133_093138,3300049256 assembled Ga0508132_00067
Ga0508133_093138,3300049256 assembled Ga0508132_00087
Ga0508133_093138,3300049257 assembled Ga0508133_014522
Ga0508133_093138,3300049257 assembled Ga0508133_049421
Ga0508133_093138,3300049256 assembled Ga0508132_00189
Ga0508133_093138,3300049256 assembled Ga0508132_00224
Ga0508133_093138,3300049256 assembled Ga0508132_00218
Ga0508133_093138,3300049256 assembled Ga0508132_00345
Ga0508133_093138,3300049257 assembled Ga0508133_018583
Ga0508133_093138,3300049256 assembled Ga0508132_00312
Ga0508133_093138,3300049256 assembled Ga0508132_00397
Ga0508133_093138,3300049256 assembled Ga0508132_00575
Ga0508133_093138,3300049256 assembled Ga0508132_00441
Ga0508133_093138,3300049257 assembled Ga0508133_049207
Ga0508133_093138,3300049256 assembled Ga0508132_00651
Ga0508133_093138,3300049257 assembled Ga0508133_009656
Ga0508133_093138,3300049256 assembled Ga0508132_00909
Ga0508133_093138,3300049256 assembled Ga0508132_00953
Ga0508133_093138,3300049256 assembled Ga0508132_00539
Ga0508133_093138,3300049256 assembled Ga0508132_01032
Ga0508133_093138,3300049256 assembled Ga0508132_00907
Ga0508133_093138,3300049257 assembled Ga0508133_031581
Ga0508133_093138,3300049257 assembled Ga0508133_059837
Ga0508133_093138,3300049256 assembled Ga0508132_01308
Ga0508133_093138,3300049257 assembled Ga0508133_003942
Ga0508133_093138,3300049257 assembled Ga0508133_058713
Ga0508133_093138,3300049257 assembled Ga0508133_083674
Ga0508133_093138,3300049256 assembled Ga0508132_01057
Ga0508133_093138,3300049256 assembled Ga0508132_01414
Ga0508133_093138,3300049257 assembled Ga0508133_011221
Ga0508133_093138,3300049257 assembled Ga0508133_050890
Ga0508133_093138,3300049257 assembled Ga0508133_067697
Ga0508133_093138,3300049256 assembled Ga0508132_01998
Ga0508133_093138,3300049257 assembled Ga0508133_001398
Ga0508133_093138,3300049257 assembled Ga0508133_004428
Ga0508133_093138,3300049257 assembled Ga0508133_005423
Ga0508133_093138,3300049257 assembled Ga0508133_006568
Ga0508133_093138,3300049257 assembled Ga0508133_007208
Ga0508133_093138,3300049257 assembled Ga0508133_030166
Ga0508133_093138,3300049257 assembled Ga0508133_050031
Ga0508133_093138,3300049257 assembled Ga0508133_066169
Ga0508133_093138,3300049257 assembled Ga0508133_005960
Ga0508133_093138,3300049257 assembled Ga0508133_017123
Ga0508133_093138,3300049257 assembled Ga0508133_027471
Ga0508133_093138,3300049257 assembled Ga0508133_030378
Ga0508133_093138,3300049257 assembled Ga0508133_045016
Ga0508133_093138,3300049257 assembled Ga0508133_093138
